模型,short_multiplier,long_leverage,short_leverage,累计收益,年化收益,Sharpe,最大回撤,胜率
Logistic,2.5,3.0,1.5,0.1196,0.1117,0.5629,-0.162,0.301
Logistic,2.5,2.0,1.0,0.084,0.0745,0.5629,-0.1106,0.301
Ridge,2.5,1.0,3.0,0.1297,0.1271,0.5384,-0.181,0.1553
Ridge,2.0,3.0,1.5,0.0986,0.0918,0.5254,-0.1352,0.2136
Ridge,2.0,2.0,1.0,0.0691,0.0612,0.5254,-0.0918,0.2136
Logistic,2.5,2.5,1.5,0.0906,0.0891,0.4632,-0.162,0.301
Ridge,2.0,2.5,1.5,0.0786,0.0756,0.4517,-0.1309,0.2136
Logistic,3.0,2.0,1.0,0.0587,0.0545,0.4307,-0.1063,0.2492
Logistic,3.0,3.0,1.5,0.0814,0.0817,0.4307,-0.1559,0.2492
Ridge,2.0,1.5,1.0,0.049,0.045,0.4113,-0.0873,0.2136
Ridge,2.0,3.0,2.0,0.0845,0.0899,0.4113,-0.1687,0.2136
Logistic,2.5,3.0,2.0,0.0923,0.1038,0.4103,-0.211,0.301
Logistic,2.5,1.5,1.0,0.0554,0.0519,0.4103,-0.1106,0.301
Ridge,1.5,3.0,1.0,0.0548,0.0537,0.3747,-0.1379,0.2686
Ridge,2.0,2.0,1.5,0.0586,0.0593,0.3686,-0.1265,0.2136
Logistic,2.5,2.0,1.5,0.0621,0.0666,0.3553,-0.162,0.301
Ridge,2.0,2.5,2.0,0.0648,0.0737,0.3464,-0.1645,0.2136
Ridge,2.0,3.0,2.5,0.0674,0.0881,0.3328,-0.2013,0.2136
Logistic,2.5,2.5,2.0,0.0639,0.0813,0.3272,-0.211,0.301
Logistic,3.0,2.5,1.5,0.0534,0.0591,0.3225,-0.1559,0.2492
Logistic,2.5,3.0,2.5,0.061,0.0959,0.3101,-0.2576,0.301
Logistic,2.0,3.0,1.0,0.0417,0.045,0.2923,-0.112,0.3495
Ridge,1.5,2.5,1.0,0.0356,0.0374,0.2792,-0.1336,0.2686
Ridge,2.0,1.5,1.5,0.0387,0.0431,0.2765,-0.1222,0.2136
Ridge,2.0,2.5,2.5,0.048,0.0718,0.2765,-0.1973,0.2136
Ridge,2.0,2.0,2.0,0.0451,0.0574,0.2765,-0.1604,0.2136
Ridge,2.0,3.0,3.0,0.0474,0.0862,0.2765,-0.233,0.2136
Ridge,2.0,1.0,1.0,0.029,0.0287,0.2765,-0.0828,0.2136
Logistic,3.0,1.5,1.0,0.0307,0.0319,0.265,-0.1063,0.2492
Logistic,3.0,3.0,2.0,0.0438,0.0638,0.265,-0.2033,0.2492
Logistic,2.5,1.0,1.0,0.0272,0.0294,0.2401,-0.1106,0.301
Logistic,2.5,2.5,2.5,0.0335,0.0734,0.2401,-0.2576,0.301
Logistic,2.5,1.5,1.5,0.034,0.044,0.2401,-0.162,0.301
Logistic,2.5,3.0,3.0,0.0261,0.0881,0.2401,-0.3019,0.301
Logistic,2.5,2.0,2.0,0.0361,0.0587,0.2401,-0.211,0.301
Ridge,2.0,2.5,3.0,0.0283,0.0699,0.2273,-0.2292,0.2136
XGBoost,1.5,3.0,1.0,0.0282,0.034,0.225,-0.1946,0.3754
Ridge,2.0,2.0,2.5,0.0286,0.0556,0.2173,-0.1933,0.2136
Logistic,3.0,2.0,1.5,0.0258,0.0366,0.2054,-0.1559,0.2492
Ridge,2.0,1.5,2.0,0.0254,0.0412,0.2021,-0.1562,0.2136
Logistic,2.5,2.5,3.0,-0.0004,0.0655,0.1802,-0.3019,0.301
Ridge,2.0,2.0,3.0,0.0093,0.0537,0.1765,-0.2254,0.2136
Ridge,2.0,1.0,1.5,0.0189,0.0268,0.1765,-0.1179,0.2136
Logistic,3.0,2.5,2.0,0.0168,0.0413,0.1749,-0.2033,0.2492
